title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
SAP Senior Consultant - SAP Extended Warehouse Management (EWM) Module,Deloitte Consulting SEA,Thương lượng,,"Hồ Chí Minh, Hà Nội","SAP, Consulting, Information Technology",https://www.vietnamworks.com/sap-senior-consultant-sap-extended-warehouse-management-ewm-module--2061219-jv?source=searchResults&searchType=2&placement=2061219&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
FPGA Engineer (Chance To Become Leader),"Toshiba Software Development (Vietnam) CO., LTD",Thương lượng,,Hà Nội,"FPGA Development, Hdl Coding, Linux environment",https://www.vietnamworks.com/fpga-engineer-chance-to-become-leader-2063038-jv?source=searchResults&searchType=2&placement=2063038&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:54,
Cán Bộ Thanh Tra CNTT,CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,,Hà Nội,"Analytical Thinking, Compliance, Risk Management",https://www.vietnamworks.com/can-bo-thanh-tra-cntt-2059886-jv?source=searchResults&searchType=2&placement=2059886&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
IT Comtor - Signing Bonus Up To 15M,FPT Software,Thương lượng,,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Giao Tiếp Tốt, Tiếng Nhật N2, Biên Phiên Dịch It",https://www.vietnamworks.com/it-comtor-signing-bonus-up-to-15m-2062513-jv?source=searchResults&searchType=2&placement=2062513&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Risk & Compliance Team Leader,FPT Software,Thương lượng,,"Hà Nội, Hồ Chí Minh, Đà Nẵng","Compliance, English, ISO 9001",https://www.vietnamworks.com/risk-and-compliance-team-leader-2062524-jv?source=searchResults&searchType=2&placement=2062524&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Kỹ Sư Cao Cấp Phát Triển Phần Mềm,BIM Group,Thương lượng,,Hà Nội,"Lập Trình, Quản Trị Cơ Sở Dữ Liệu, C#",https://www.vietnamworks.com/ky-su-cao-cap-phat-trien-phan-mem--2041408-jv?source=searchResults&searchType=2&placement=2041408&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Nhân Viên Chăm Sóc Khách Hàng (Customer Service),CÔNG TY CỔ PHẦN VINSMART FUTURE,Thương lượng,,Hà Nội,"Chăm Sóc Khách Hàng, Dịch Vụ Khách Hàng, Kỹ năng giao tiếp",https://www.vietnamworks.com/nhan-vien-cham-soc-khach-hang-customer-service--2057637-jv?source=searchResults&searchType=2&placement=2057637&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Executive Assistant to C-Level (Chinese),One Mount,"$ 1,200-2,500 /tháng",,Hà Nội,"Assistant Experience, Business Consulting, Project Coordination",https://www.vietnamworks.com/executive-assistant-to-c-level-chinese--2066494-jv?source=searchResults&searchType=2&placement=2066494&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Process Quality Assurance,FPT Software,Thương lượng,,Hà Nội,"Cmmi Awareness, Data Analysis, Excel Skills",https://www.vietnamworks.com/process-quality-assurance-2041395-jv?source=searchResults&searchType=2&placement=2041395&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
Account Manager (Nhân Viên Kinh Doanh Dự Án CNTT – Sale IT),Công Ty Cổ Phần Dịch Vụ Công Nghệ Tin Học HPT,14tr-40tr ₫/tháng,,"Hồ Chí Minh, Hà Nội","kỹ năng giao tiếp tiếng Anh, sale IT",https://www.vietnamworks.com/account-manager-nhan-vien-kinh-doanh-du-an-cntt-sale-it-2065804-jv?source=searchResults&searchType=2&placement=2065804&sortBy=date&qs=0,vietnamworks,2026-06-17 15:04:55,
