title,company,salary,experience,location,skills,url,source,scraped_at,job_date_str
Fullstack Developer,Công ty Cổ phần TOPCV Việt Nam,Thoả thuận,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, Nghỉ thứ 7, Đại Học trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Khám sức khỏe định kỳ, Team building, Thưởng tháng 13, Thưởng hiệu quả làm việc, Thiết bị: Máy tính",https://www.topcv.vn/brand/topcv/tuyen-dung/fullstack-developer-j2196402.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-11
TechLead .NET,Công ty cổ phần Synodus,Tới 60 triệu,,Hà Nội,"Trên 5 năm kinh nghiệm chuyên môn, Software Engineer, IT - Phần mềm, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/techlead-net/2197173.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-11
Kỹ Sư Phần Mềm PHP,"Pro
Chi nhánh Công ty cổ phần công nghệ thông tin truyền thông Thiên Hy Long Việt Nam",Thoả thuận,,Hà Nội,"3 năm kinh nghiệm chuyên môn, Backend Developer, IT - Phần mềm, Nghỉ thứ 7, Tiếng Anh Đọc hiểu, Đại Học trở lên, Team building, Khám sức khỏe định kỳ, Thưởng tháng 13",https://www.topcv.vn/brand/chicilonmedia/tuyen-dung/ky-su-phan-mem-php-j2194409.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:19,2026-06-10
Kỹ Sư Phát Triển Phần Mềm AI Cho Thiết Bị Thông Minh (AI Software Engineer – Smart Devices),VNPT Technology - Công ty Cổ phần Công nghệ Công nghiệp Bưu chính viễn thông,Thoả thuận,,Hà Nội,"1 năm kinh nghiệm chuyên môn, Software Engineer, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/ky-su-phat-trien-phan-mem-ai-cho-thiet-bi-thong-minh-ai-software-engineer-smart-devices/2180025.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-10
Trưởng Nhóm Lập Trình Java Thu Nhập Hấp Dẫn,CÔNG TY TNHH GIẢI PHÁP BẢO MẬT SỐ,Thoả thuận,,Hà Nội,"3 năm kinh nghiệm chuyên môn, Software Engineer, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/truong-nhom-lap-trinh-java-thu-nhap-hap-dan/2199242.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-12
.NET DEVELOPMENT ENGINEER Biết Tiếng Trung,CÔNG TY TNHH SOONEST EXPRESS (VIETNAM),Thoả thuận,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, Đại Học trở lên, Bảo hiểm xã hội, Thưởng tháng 13",https://www.topcv.vn/viec-lam/net-development-engineer-biet-tieng-trung/2194386.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-10
"Fullstack Developer [Hà Nội] - Thu Nhập Cạnh Tranh, Từ 4 Năm Kinh Nghiệm",Công ty cổ phần Công nghệ Sapo,Thoả thuận,,Hà Nội,"4 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, IT - Phần cứng và máy tính, Nghỉ thứ 7, Cao Đẳng trở lên",https://www.topcv.vn/brand/sapovn/tuyen-dung/fullstack-developer-ha-noi-thu-nhap-canh-tranh-tu-4-nam-kinh-nghiem-j2176613.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-16
Senior Full Stack Developer | HTML/CSS/JS - Java/Spring | Trên 5 Năm Kinh Nghiệm,CÔNG TY TNHH GEO SYSTEM SOLUTIONS VIỆT NAM,Thoả thuận,,Hồ Chí Minh (mới),"5 năm kinh nghiệm quản lý, 5 năm kinh nghiệm chuyên môn, Fullstack Developer, IT - Phần mềm, Nghỉ thứ 7, Tiếng Anh Giao tiếp cơ bản, Đại Học trở lên",https://www.topcv.vn/viec-lam/senior-full-stack-developer-html-css-js-java-spring-tren-5-nam-kinh-nghiem/2202546.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-16
Kỹ Sư Java Backend,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thoả thuận,,Hà Nội,"2 năm kinh nghiệm chuyên môn, Backend Developer, IT - Phần mềm, Nghỉ thứ 7, Tiếng Anh TOEIC 550, Từ 25 tuổi trở lên, Đại Học trở lên",https://www.topcv.vn/viec-lam/ky-su-java-backend/2113032.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-17
Kỹ Sư Phát Triển Phần Mềm,TỔNG CÔNG TY MẠNG LƯỚI VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP-VIỄN THÔNG QUÂN ĐỘI,20 - 40 triệu,,Hà Nội,"1 năm kinh nghiệm chuyên môn, Software Engineer, IT - Phần mềm, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/ky-su-phat-trien-phan-mem/2204371.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-17
Senior Product Business Analyst/ Product BA Manager,CÔNG TY TNHH PHẦN MỀM HICAS,20 - 40 triệu,,Hà Nội,"3 năm kinh nghiệm quản lý, 5 năm kinh nghiệm chuyên môn, Software Engineer, An ninh mạng, Xây dựng, Giáo dục / Đào tạo, Công nghệ kỹ thuật, Đại Học trở lên, Bảo hiểm xã hội, Bảo hiểm sức khỏe, Team building, Du lịch hàng năm, Phụ cấp thâm niên, Thưởng tháng 13, Phụ cấp: Ăn trưa",https://www.topcv.vn/brand/hicas/tuyen-dung/senior-product-business-analyst-product-ba-manager-j2204482.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-17
Boomi Integration Developer,Công Ty TNHH LG CNS VIỆT NAM,Thoả thuận,,Hà Nội,"1 năm kinh nghiệm chuyên môn, Software Engineer, IT - Phần mềm, Nghỉ thứ 7, Đại Học trở lên",https://www.topcv.vn/viec-lam/boomi-integration-developer/2204757.html?ta_source=JobSearchList_LinkDetail&u_sr_id=mjc9wso8wxOjzRs12Yd9hHBNhfIDgY5E35YHT7UZ_1781683078,topcv,2026-06-17 15:03:20,2026-06-17
